"x","y"
1,50
2,38
3,39
4,38
5,39
6,35
7,49
8,44
9,1
10,92
11,38
12,36
13,45
14,45
15,44
16,1
17,42
18,1
19,33
20,44
21,53
22,29
23,1
24,39
25,45
26,46
27,40
28,1
29,32
30,35
31,36
32,1
33,36
34,35
35,41
36,34
37,37
38,37
39,1
40,36
41,204
42,89
43,40
44,47
45,1
46,804
47,59
48,1
49,1
50,325
51,44
52,574
53,41
54,54
55,56
56,43
57,56
58,45
59,152
60,49
61,121
62,103
63,219
64,84
65,55
66,41
67,71
68,72
69,219
70,180
71,55
72,84
73,207
74,86
75,47
76,131
77,55
78,57
79,150
80,37
81,150
82,148
83,49
84,246
85,50
86,47
87,91
88,154
89,215
90,54
91,53
92,63
93,47
94,49
95,129
96,58
97,49
98,78
99,65
100,41
101,35
102,37
103,415
104,37
105,56
106,45
107,41
108,49
109,31
110,34
111,1
112,1
113,39
114,34
115,34
116,1
117,1
118,37
119,1
120,1
121,36
122,1
123,1
124,54
125,36
126,40
127,41
128,34
129,41
130,35
131,39
132,34
133,49
134,36
135,30
136,31
137,1
138,34
139,34
140,33
141,31
142,41
143,1
144,53
145,28
146,31
147,46
148,40
149,39
150,34
151,1
152,39
153,32
154,52
155,47
156,33
157,48
158,1
159,365
160,191
161,335
162,132
163,49
164,46
165,160
166,45
167,54
168,219
169,37
170,60
171,48
172,47
173,50
174,65
175,44
176,46
177,114
178,201
179,185
180,49
181,185
182,162
183,48
184,84
185,47
186,191
187,145
188,45
189,58
190,63
191,231
192,41
193,251
194,103
195,67
196,325
197,63
198,182
199,94
200,376
201,54
202,54
203,64
204,51
205,55
206,110
207,73
208,56
209,106
210,274
211,70
212,105
213,143
214,53
215,60
216,67
217,68
218,219
219,80
220,108
221,86
222,262
223,634
224,446
225,188
226,47
227,36
228,40
229,1
230,38
231,40
232,49
233,29
234,63
235,45
236,32
237,1
238,38
239,37
240,45
241,40
242,40
243,47
244,34
245,45
246,39
247,44
248,43
249,42
250,1
251,34
252,39
253,46
254,42
255,36
256,42
257,37
258,36
259,33
260,37
261,42
262,39
263,38
264,37
265,39
266,128
267,36
268,50
269,43
270,227
271,45
272,44
273,156
274,47
275,294
276,45
277,44
278,42
279,44
280,42
281,1
282,48
283,63
284,1
285,32
286,1
287,37
288,344
289,389
290,72
291,43
